rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
841	1	2	2	0.242507691122596	-13.6950956453293	1	40.7302784519507	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	163.972163200378	810_ms2_res_1080
842	1	2	2	0.242476294288171	-13.6874633658897	1	40.7220757567342	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	179.017796516418	885_ms2_res_1180
843	1	2	2	0.242158760072713	-13.6885334621684	1	40.6898802671036	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	175.241918563843	867_ms2_res_1156
844	1	2	2	0.242065297241455	-13.6896903861565	1	40.6480716363554	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	167.813444137573	830_ms2_res_1107
845	1	2	2	0.241970152420085	-13.6770332672566	1	46.3445941232897	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	448.267307281494	2180_ms2_res_2907
846	1	2	2	0.241282809884459	-13.2029192033386	1	43.5835485945125	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	343.647508621216	1675_ms2_res_2234
847	1	2	2	0.240895703105421	-12.9772731945766	1	55.2478167214217	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	882.58918762207	4301_ms2_res_5790
848	2	2	2	0.24071760861721	-13.7771469142387	1	40.6893414939593	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	141.091904640198	699_ms2_res_932
849	1	1	1	0.240585496776171	-98.798236035449	1	143.348264452897	C13H18O4	[M - H2O + H]+	MWQPYRSTFODAPU	InChI=1S/C13H18O4/c1-8-5-10(15)6-12(3,4)13(8,17)7-11(16)9(2)14/h5,7,16-17H,6H2,1-4H3	null	CC1=CC(=O)CC(C1(C=C(C(=O)C)O)O)(C)C	0.882534742		KEGG Mine	8589934592	221.117446899414	497.555809020996	2423_ms2_res_3231
850	1	2	2	0.240346260947193	-43.1488983292329	1	66.4377167073851	C3H6O2P2	[M + H]+	SAFRJMPXTIOXBP	InChI=1S/C3H6O2P2/c1-3-6-5-7(2)4/h3,6H,1-2H2	null	C=CPOP(=C)=O	0.600000024	122447939	PubChem:(122447939)	2	136.989852905273	391.867790222168	1908_ms2_res_2544
851	1	2	2	0.240346260947193	-43.1488983292329	1	66.4377167073851	C3H6O2P2	[M + H]+	SAFRJMPXTIOXBP	InChI=1S/C3H6O2P2/c1-3-6-5-7(2)4/h3,6H,1-2H2	null	C=CPOP(=C)=O	0.600000024	122447939	PubChem:(122447939)	2	136.989852905273	396.209535598755	1929_ms2_res_2572
852	1	2	2	0.240321771168555	-12.9893499575694	1	55.1155231817619	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	886.448650360108	4319_ms2_res_5814
853	1	2	2	0.240275447460104	-13.7589394534144	1	40.7717524201325	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	160.036153793335	789_ms2_res_1052
854	1	2	2	0.240032590200787	-13.2270505829394	1	55.2299843201615	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	855.637149810791	4175_ms2_res_5622
855	1	2	2	0.239754149714441	-122.193617126971	0.987939698492462	79.3818464373048	C15H27NO5	[M + H]+	DJBHDJOKFPLSHW	InChI=1S/C15H27NO5/c1-2-3-10-20-11-4-5-12-21-13-6-9-16-14(17)7-8-15(18)19/h1H,2-13H2,(H,16,17)(H,18,19)	null	[CH]CCCOCCCCOCCCNC(=O)CCC(=O)O	1	58238711	PubChem:(58238711)	2	302.196166992188	182.214417457581	900_ms2_res_1200
856	1	1	1	0.239594333361004	-275.882011496892	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112731933594	52.5361311435699	256_ms2_res_342
857	1	1	1	0.239594333361004	-275.882011496892	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112747192383	79.483630657196	396_ms2_res_528
858	1	1	1	0.239594333361004	-275.882011496892	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112747192383	59.4636404514313	293_ms2_res_391
859	1	1	1	0.239594333361004	-275.882011496892	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112731933594	89.1738724708557	444_ms2_res_592
860	1	1	1	0.23956077496672	-275.964002964788	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112716674805	49.1155028343201	238_ms2_res_318
861	1	1	1	0.23956077496672	-275.964002964788	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112762451172	55.9867680072784	274_ms2_res_366
862	1	1	1	0.23956077496672	-275.964002964788	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112777709961	67.4076247215271	335_ms2_res_447
863	1	1	1	0.23956077496672	-275.964002964788	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112762451172	63.3530187606812	314_ms2_res_419
864	1	1	1	0.23956077496672	-275.964002964788	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112762451172	42.6094973087311	202_ms2_res_270
865	1	1	1	0.23956077496672	-275.964002964788	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112655639648	45.8488869667053	220_ms2_res_294
866	1	1	1	0.23956077496672	-275.964002964788	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112762451172	71.5725016593933	356_ms2_res_475
867	1	1	1	0.23956077496672	-275.964002964788	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112777709961	75.2762317657471	375_ms2_res_500
868	1	2	2	0.23953215992864	-17.3674393786356	1	32.1169511873317	C6H13NO2	[M + H]+	LRQKBLKVPFOOQJ	InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)	Caprine	CCCCC(C(=O)O)N	0.422521114	9475;517543;21236;456468;6857453;6991974;6999776;14455215;57123533;71751222;91488674;101613819;133686914	HMDB:(1645);SuperNatural:(SN00311022 SN00391858 SN00216072);ZINC bio:(ZINC01529322 ZINC02034415);additional;MeSH:(9475 21236);Plantcyc:(L-2-AMINOHEXANOATE);PubMed;NORMAN:(NS00015352);COCONUT:(CNP0177876);Natural Products:(UNPD168222 UNPD122331);PubChem:(9475 517543 21236 456468 6857453 6991974 6999776 14455215 57123533 71751222 91488674 101613819 133686914);CHEBI:(18347 58455 42101 21203 143080 36405);PubChem class - bio and metabolites;KEGG:(C01933);PubChem class - safety and toxic;YMDB:(1001);PubChem class - drug;Biocyc:(L-2-AMINOHEXANOATE)	121612654	132.102172851563	178.275589942932	881_ms2_res_1175
869	1	1	1	0.239504509341465	-275.985293451592	1	45.3414812869459	C7H17NO4	[M - H2O + H]+	LKVAFIJZPAAWMF	InChI=1S/C7H17NO4/c1-8(2-6(11)4-9)3-7(12)5-10/h6-7,9-12H,2-5H2,1H3	3-[2,3-dihydroxypropyl(methyl)amino]propane-1,2-diol	CN(CC(CO)O)CC(CO)O	-2.29999995	20195284;60004524;60004525	PubChem:(20195284 60004524 60004525)	2	162.112762451172	84.2579913139343	420_ms2_res_560
870	1	2	2	0.239236030666321	-13.7927192393127	1	40.7020143897417	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	148.524570465088	733_ms2_res_978
871	1	2	2	0.239080967118016	-47.0433426949	1	12.0877151617933	C3H3NSe	[M + H]+	VWOIESVMNHRLFN	InChI=1S/C3H3NSe/c1-2-5-3-4/h2H,1H2	null	C=C[Se]C#N	0.533341289	101363885	PubChem:(101363885)	2	127.956283569336	767.912120819092	3759_ms2_res_5059
872	2	2	2	0.238714317174596	-13.8022365245991	1	40.7220603384262	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	152.307171821594	751_ms2_res_1002
873	1	2	2	0.238551995798677	-13.2578048413243	1	55.2677824123621	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	859.490146636963	4193_ms2_res_5646
874	1	2	2	0.238319231546785	-13.0889682469694	1	55.1113406127666	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	874.879932403564	4265_ms2_res_5742
875	1	2	2	0.238216976233788	-13.8142979051252	1	40.7961422754797	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	171.420679092407	848_ms2_res_1131
876	1	2	2	0.238202001918456	-13.8092793723916	1	40.7256823172078	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	144.832549095154	716_ms2_res_955
877	1	2	2	0.238141598466991	-13.8045674787182	1	40.816976866196	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	156.129055023193	769_ms2_res_1026
878	1	2	2	0.237831205791519	-13.0800990141506	1	55.2203592666922	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	890.307655334473	4337_ms2_res_5838
879	1	2	2	0.237671629142364	-13.3252429697269	1	54.6629711099108	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	840.274257659912	4103_ms2_res_5526
